id,name
501,Red Potion
502,Orange Potion
503,White Potion
507,Red Herb
511,Green Herb
517,Meat
528,Monster's Feed
623,Eathworm the Dude
630,Dew Laden Moss
631,Deadly Noxious Herb
645,Concentration Potion
713,Empty Bottle
717,Blue Gemstone
757,Rough Elunium
908,Spawn
909,Jellopy
910,Garlet
911,Scell
918,Sticky Webfoot
919,Animal Skin
920,Wolf Claw
921,Mushroom Spore
924,Powder of Butterfly
926,ISnake Scale
928,Insect Feeler
938,Sticky Mucus
940,Grasshopper's Leg
943,Solid Shell
946,Snail's Shell
949,Soft Fluff
950,Heart of Mermaid
951,Fin
955,Insect Peeling
960,Nipper
961,Conch
962,Tentacle
971,Detrimindexta
991,Crystal Blue
995,Mystic Frozen
1011,Emveretarcon
1024,Squid Ink
1052,Single Cell
4027,Kukre Card
4035,Hydra Card
4055,Marina Card
4079,Mantis Card
7033,Poison Spore
4024,Plankton Card
935,Shell
2221,Hat
1002,Iron Ore
990,Red Blood
512,Apple
514,Grape
4048,Poison Spore Card
510,Blue Herb
912,Zargon
712,Flower
915,Chrysalis
913,Tooth of Bat
957,Decayed Nail
907,Resin
7032,Piece of Egg Shell
643,Pet Incubator
1067,Solid Trunk
902,Tree Root
1068,Barren Trunk
948,Bear's Footskin
516,Potato
1021,Dokebi Horn
604,Dead Branch
945,Raccoon Leaf
518,Honey
740,Puppet
906,Pointed Scale
2289,Poo Poo Hat
4037,Snake Card
937,Venom Canine
578,Strawberry
905,Stem
993,Green Live
704,Aloe
621,Bitter Herb
1117,Katana
5033,Raccoon Hat
508,Yellow Herb
756,Rough Oridecon
4034,Wormtail Card
4033,Poporing Card  / PoPoring Card
4074,Bigfoot Card
2220,Hat
1207,Main Gauche
4022,Spore Card
4049,Vadon Card
521,Aloe Leaflet
754,Raccoon Doll  / Racoon Doll
2213,Kitty Band
509,White Herb
1020,Black Hair
1066,Fine-grained Trunk
2308,Mantle
1019,Trunk
743,Spore Doll
954,Shining Scale
972,Karvodailnirol
4029,Wolf Card
963,Sharp Scale
748,Witherless Rose
720,Aquamarine
4095,Marse Card
5014,Fin Helm
2326,Saint's Robe
525,Panacea
970,Alcohol
705,Clover
656,Awakening Potion
1259,Katar of Piercing Wind
1715,Arbalest  / Arbalest Bow
2234,Tiara
2000,Staff of Destruction
2256,Majestic Goat  / Magestic Goat
1220,Gladius
2525,Ancient Cape
2235,Crown
4082,Desert Wolf Card
1466,Crescent Scythe
4005,Santa Poring Card
1602,Rod
1136,Solar Sword
4013,Andre Egg Card
2315,Chain Mail
2318,Lord's Clothes
1158,Two-Handed Sword  / Two-handed Sword
2245,Sweet Gent
2236,Santa Hat
1164,Muramasa
2264,Munak Hat
2266,Iron Cain
1120,Tsurugi
2311,Mink Coat
2506,Manteau
2217,Biretta
1611,Arc Wand
1253,Katar
2339,Pantie
1257,Katar of Quaking
1260,Sharpened Legbone of Ghoul
2322,Silk Robe
2333,Silver Robe
2102,Guard
2331,Tights
4053,Vitata Card
4052,Elder Willow Card
2621,Ring
2274,Ghost Bandana
2255,Evil Wing
2607,Clip
4126,Minorous Card
1255,Jamadhar
2624,Glove
2618,Matyr's Leash
5040,Blush
2602,Earring
1162,Broad Sword
2254,Angel Wing
4081,Hode Card
4004,Drops Card
1217,Stiletto
999,Steel
2338,Wedding Dress
2206,Wedding Veil
2263,Zorro Masque
2267,Cigarette
4094,Archer Skeleton Card
2268,Pipe
1223,Fortune Sword
1464,Halberd  / Hallberd
4140,Abysmal Knight Card
7297,Biotite
4250,Executioner Card
7290,Phlogopite
2317,Full Plate
7292,Muscovite
1004,Chivalry Emblem
2229,Helm
2104,Buckler
4059,Soldier Andre Card
2250,Cute Ribbon
4100,Sohee Card
2253,Sunflower
4044,Smokie Card
5009,Safety Helmet
4010,Willow Card
2522,Undershirt
5027,Mage Hat
2258,Spiky Band
4160,Firelock Soldier Card
2108,Mirror Shield
2334,Mage Coat
1127,Saber
2504,Muffler
1473,Wizardry Staff
1261,Infiltrator
5017,Bone Helm
2285,Apple of Archer
4086,Soldier Skeleton Card
2404,Shoes
4107,Verit Card
2407,Crystal Pumps
4122,Deviruchi Card
1258,Katar of Raging Blaze
4040,Creamy Card
4136,Khalitzburg Card
2269,Romantic Flower
985,Elunium
2320,Formal Suit
1520,Chain
2654,Shinobi Sash
2502,Hood
5002,Jewel Crown
2246,Golden Gear
4133,Raydric Card
7510,Valhalla's Flower  / Valhala's Flower
968,Heroic Emblem
4097,Matyr Card
4012,Thief Bug Egg Card  / Thiefbug Egg Card
4127,Nightmare Card
4066,Orc Warrior Card
4026,Female Thief Bug Card  / Female Thiefbug Card
4057,Metaller Card
4208,Miyabi Doll Card
4120,Sky Petite Card
4105,Marc Card
4299,Clock Card
750,Baphomet Doll
751,Osiris Doll
5019,Corsair
1129,Flamberge
4071,Orc Zombie Card
4161,Grand Peco Card
4221,Skeleton General Card
4205,Mimic Card
714,Emperium
984,Oridecon
4115,Hunter Fly Card
4279,Earth Deleter Card
4230,Shinobi Card
4106,Mummy Card
4129,Bapho Jr. Card
4069,Drainliar Card
4041,Coco Card
2619,Bow Thimble
5141,Marionette Doll
4141,Evil Druid Card
4092,Skeleton Worker Card  / Skel Worker Card
1237,Grimtooth
1135,Cutlus
2297,Goblin Mask
5089,Annoyed Mask
2275,Red Bandana
2244,Big Ribbon
2313,Padded Armor
4085,Orc Skeleton Card
1411,Lance
5007,Grand Circlet
5053,Sphinx Hat
4077,Phen Card
2625,Brooch
1141,Immaterial Sword
5022,Hat of the Sun God
1226,Damascus
4089,Swordfish Card
4058,Thara Frog Card
4070,Eggyra Card
4016,Thief Bug Card
4280,Geographer Card
4006,Lunatic Card
1208,Main Gauche
2406,Boots
1705,Composite Bow
4020,Familiar Card
4255,Orc Lady Card
2623,Necklace
2617,Celebrant's Mitten
11500,Light Yellow Potion
0,RateMyServer.Net
2337,Ninja Suit
5042,Bao Bao
5096,Assassin Mask
505,Blue Potion
5032,Sunday Hat
4246,Assaulter Card
2287,Pirate Bandana
4091,Kobold Card
2336,Thief Clothes
4117,Sidewinder Card
4211,Vocal Card
1615,Evil Bone Wand
5094,Helmet of Orc Hero
1417,Pole Axe  / Poll Axe
2214,Bunny Band
4158,Sky Deleter Card
4174,Deviling Card
4043,Andre Card
4051,Yoyo Card
4203,Mutant Dragonoid Card
1405,Spear
1455,Glaive
969,Gold
616,Old Card Album
4102,Whisper Card
1608,Staff
2233,Circlet
1216,Stiletto
2310,Coat
4239,Iron Fist Card
4112,Marduk Card
4098,Dokebi Card
5045,Magician Hat
4237,Owl Duke Card
1232,Assassin Dagger
5016,Boy's Cap
4238,Owl Baron Card
7020,Mother's Nightmare
1133,Fireblend
2304,Jacket
4248,Ancient Mummy Card
4025,Skeleton Card
1505,Mace
4038,Zombie Card
4031,Peco Peco Card  / Pecopeco Card
4001,Poring Card
1154,Bastard Sword
4023,Baby Desert Wolf Card  / Baby Desertwolf Card
601,Fly Wing
602,Butterfly Wing
5069,Kitsune Mask
2207,Fancy Flower
582,Orange
4042,Steel Chonchon Card
2656,Armor Charm
4003,Pupa Card
2296,Binoculars
1107,Blade
4060,Goblin Card
4201,Majoruros Card
4234,Anolian Card
5010,Indian Fillet
2241,Grampa Beard
5088,Surprised Mask
7294,Turquoise
7022,Old Hilt
1625,Healing Staff
4264,Wind Ghost Card
1614,Wand of Occult
1472,Soul Staff
4138,Anubis Card
4253,Alice Card
4185,Rideword Card
1306,War Axe
1364,Great Axe
2604,Glove
4369,Venatu Card
1061,Witched Starsand  / Witch Starsand
4021,Rocker Card
0,RateMyServer.Net
2508,Ragamuffin Manteau
1551,Bible
4119,Bathory Card
1734,Orc Archer Bow
2270,Romantic Leaf
617,Old Purple Box
2203,Glasses
5118,Puppy Headband
1007,Necklace of Wisdom
2106,Shield
4061,Cornutus Card
956,Gill
1051,Detonator
1050,Tendon
1023,Fish Tail
4178,Dragon Tail Card
1234,Moonlight Dagger
2615,Safety Ring
4014,Roda Frog Card
4157,Goblin Archer Card
4080,Flora Card
1966,Icicle Whip
608,Yggdrasil Seed
4257,Wild Rose Card
4108,Myst Card
4196,Marin Card
1139,Tirfing
1169,Executioner
2611,Silver Ring
4019,Hornet Card
5087,Poker Face
2225,Goggles
1165,Masamune
1004,Chivalry Emblem
4136,Khalitzburg Card
2407,Crystal Pumps
1261,Infiltrator
2619,Bow Thimble
2618,Matyr's Leash
2506,Manteau
4094,Archer Skeleton Card
4141,Evil Druid Card
2318,Lord's Clothes
1135,Cutlus
1237,Grimtooth
5089,Annoyed Mask
2297,Goblin Mask
751,Osiris Doll
2406,Boots
4086,Soldier Skeleton Card
999,Steel
2266,Iron Cain
1158,Two-Handed Sword  / Two-handed Sword
1162,Broad Sword
4012,Thief Bug Egg Card  / Thiefbug Egg Card
2522,Undershirt
4053,Vitata Card
2313,Padded Armor
2621,Ring
2336,Thief Clothes
5014,Fin Helm
2326,Saint's Robe
1217,Stiletto
2255,Evil Wing
4004,Drops Card
2274,Ghost Bandana
4035,Hydra Card
4091,Kobold Card
4178,Dragon Tail Card
1117,Katana
1411,Lance
2289,Poo Poo Hat
5007,Grand Circlet
2256,Majestic Goat  / Magestic Goat
2258,Spiky Band
4092,Skeleton Worker Card  / Skel Worker Card
2604,Glove
5053,Sphinx Hat
5002,Jewel Crown
4120,Sky Petite Card
2285,Apple of Archer
2104,Buckler
2656,Armor Charm
1133,Fireblend
2625,Brooch
5016,Boy's Cap
984,Oridecon
1258,Katar of Raging Blaze
1259,Katar of Piercing Wind
2234,Tiara
2320,Formal Suit
4003,Pupa Card
5096,Assassin Mask
4081,Hode Card
1715,Arbalest  / Arbalest Bow
993,Green Live
969,Gold
2615,Safety Ring
1234,Moonlight Dagger
2334,Mage Coat
5027,Mage Hat
2322,Silk Robe
2504,Muffler
2229,Helm
1466,Crescent Scythe
4160,Firelock Soldier Card
1127,Saber
2311,Mink Coat
1220,Gladius
2108,Mirror Shield
1464,Halberd  / Hallberd
968,Heroic Emblem
7510,Valhalla's Flower  / Valhala's Flower
2246,Golden Gear
4122,Deviruchi Card
4133,Raydric Card
4014,Roda Frog Card
4026,Female Thief Bug Card  / Female Thiefbug Card
4037,Snake Card
4029,Wolf Card
4052,Elder Willow Card
4044,Smokie Card
4066,Orc Warrior Card
4127,Nightmare Card
4057,Metaller Card
4105,Marc Card
4299,Clock Card
5019,Corsair
4208,Miyabi Doll Card
750,Baphomet Doll
4161,Grand Peco Card
4071,Orc Zombie Card
4077,Phen Card
1129,Flamberge
2404,Shoes
7297,Biotite
1141,Immaterial Sword
7290,Phlogopite
5141,Marionette Doll
7292,Muscovite
5022,Hat of the Sun God
2607,Clip
2310,Coat
714,Emperium
4126,Minorous Card
4221,Skeleton General Card
4205,Mimic Card
4115,Hunter Fly Card
4279,Earth Deleter Card
1473,Wizardry Staff
4230,Shinobi Card
4106,Mummy Card
4100,Sohee Card
2102,Guard
4040,Creamy Card
756,Rough Oridecon
4080,Flora Card
1966,Icicle Whip
4157,Goblin Archer Card
2221,Hat
2253,Sunflower
2339,Pantie
2206,Wedding Veil
4069,Drainliar Card
2264,Munak Hat
2217,Biretta
1226,Damascus
5017,Bone Helm
2315,Chain Mail
4255,Orc Lady Card
2623,Necklace
4246,Assaulter Card
5032,Sunday Hat
5042,Bao Bao
502,Orange Potion
656,Awakening Potion
601,Fly Wing
578,Strawberry
604,Dead Branch
518,Honey
4021,Rocker Card
608,Yggdrasil Seed
4034,Wormtail Card
2333,Silver Robe
5033,Raccoon Hat
2331,Tights
4280,Geographer Card
2267,Cigarette
582,Orange
4257,Wild Rose Card
4196,Marin Card
4042,Steel Chonchon Card
2602,Earring
4108,Myst Card
2254,Angel Wing
1255,Jamadhar
4051,Yoyo Card
1602,Rod
4079,Mantis Card
4043,Andre Card
1615,Evil Bone Wand
4211,Vocal Card
4129,Bapho Jr. Card
4058,Thara Frog Card
1705,Composite Bow
4082,Desert Wolf Card
2287,Pirate Bandana
5094,Helmet of Orc Hero
2214,Bunny Band
4020,Familiar Card
2235,Crown
1169,Executioner
1417,Pole Axe  / Poll Axe
1139,Tirfing
757,Rough Elunium
2624,Glove
1253,Katar
4174,Deviling Card
4158,Sky Deleter Card
2308,Mantle
1120,Tsurugi
1164,Muramasa
602,Butterfly Wing
4031,Peco Peco Card  / Pecopeco Card
4023,Baby Desert Wolf Card  / Baby Desertwolf Card
4070,Eggyra Card
4001,Poring Card
1405,Spear
1551,Bible
2508,Ragamuffin Manteau
2617,Celebrant's Mitten
2233,Circlet
1608,Staff
4112,Marduk Card
616,Old Card Album
4107,Verit Card
4102,Whisper Card
4119,Bathory Card
2270,Romantic Leaf
1734,Orc Archer Bow
2611,Silver Ring
617,Old Purple Box
991,Crystal Blue
1520,Chain
4117,Sidewinder Card
2338,Wedding Dress
2000,Staff of Destruction
503,Yellow Potion  / Yellow potion
2525,Ancient Cape
4237,Owl Duke Card
7020,Mother's Nightmare
4238,Owl Baron Card
4248,Ancient Mummy Card
5045,Magician Hat
1232,Assassin Dagger
4025,Skeleton Card
4085,Orc Skeleton Card
4038,Zombie Card
4239,Iron Fist Card
1505,Mace
4098,Dokebi Card
2245,Sweet Gent
4005,Santa Poring Card
1136,Solar Sword
4013,Andre Egg Card
2236,Santa Hat
645,Concentration Potion
4060,Goblin Card
2203,Glasses
4019,Hornet Card
4201,Majoruros Card
2502,Hood
4234,Anolian Card
2337,Ninja Suit
1260,Sharpened Legbone of Ghoul
1223,Fortune Sword
4250,Executioner Card
4140,Abysmal Knight Card
2268,Pipe
4010,Willow Card
2317,Full Plate
4059,Soldier Andre Card
2250,Cute Ribbon
4264,Wind Ghost Card
5009,Safety Helmet
1625,Healing Staff
1472,Soul Staff
1614,Wand of Occult
1611,Arc Wand
4253,Alice Card
7294,Turquoise
2296,Binoculars
4185,Rideword Card
4138,Anubis Card
2225,Goggles
5010,Indian Fillet
5087,Poker Face
5069,Kitsune Mask
5118,Puppy Headband
1165,Masamune
4024,Plankton Card
4022,Spore Card
4027,Kukre Card
4049,Vadon Card
4033,Poporing Card  / PoPoring Card
4048,Poison Spore Card
4074,Bigfoot Card
1057,Moth Dust
2291,Masquerade
7012,Tough Scalelike Stem
1108,Blade
716,Red Gemstone
501,Red Potion
501,Red Potion
12117,Elemental Converter  / Elemental Converter: Wind
531,Apple Juice
5040,Blush
5040,Blush
2603,Necklace
5078,Sea-Otter Hat
931,Orcish Voucher
1718,Hunter Bow
1251,Jur
1714,Gakkung Bow
1257,Katar of Quaking
2306,Adventurer's Suit
2306,Adventurer's Suit
4097,Matyr Card
4097,Matyr Card
4089,Swordfish Card
4089,Swordfish Card
4089,Swordfish Card
4103,Horong Card
1230,Ice Pick  / Ice pick
4103,Horong Card
1230,Ice Pick  / Ice pick
5085,Small Ribbons
2249,Coronet
2231,Gemmed Sallet
2244,Big Ribbon
1461,Trident
710,Illusion Flower
2106,Shield
2106,Shield
7295,Citrin
7291,Agate
5171,Valkyrie Helm
7295,Citrin
5171,Valkyrie Helm
7291,Agate
1361,Two-Handed Axe  / Two-handed Axe
4375,Orc Baby Card
4375,Orc Baby Card
4375,Orc Baby Card
1468,Zephyrus
1170,Katzbalger
1125,Ring Pommel Saber
4317,Mobster Card
4317,Mobster Card
4172,The Paper Card
4207,Mysteltainn Card
2252,Wizard Hat
5015,Egg Shell
1363,Bloody Axe
4190,Wraith Card
622,Rainbow Carrot
4093,Obeaune Card
5081,Crown of Mistress
2405,Boots
2405,Boots
1722,Ballista
1711,Crossbow  / Cross Bow
1711,Crossbow  / Cross Bow
1524,Golden Mace
1554,Book of Mother Earth
1555,Book of the Blazing Sun
1555,Book of the Blazing Sun
1554,Book of Mother Earth
4194,Rybio Card
1916,Green Acre Guitar
1402,Javelin
520,Hinalle Leaflet
2298,Green Feeler
711,Shoot
914,Fluff
619,Unripe Apple
13011,Asura
916,Feather of Birds
721,Emerald
1408,Pike
1501,Club
515,Carrot
1502,Club
1967,Gaia Whip
4030,Mandragora Card
722,Pearl
1003,Coal
4124,Medusa Card
4007,Peco Peco Egg Card  / Pecopeco Egg Card
4050,Male Thief Bug Card  / Male Thiefbug Card
504,White Potion
4296,Cramp Card
4159,Nine Tail Card
4008,Picky Card
2626,Rosary
2622,Earring
1222,Damascus
2265,Gangster Mask
5037,Nut Shell
4096,Zenorc Card
2209,Ribbon
1708,Great Bow
2227,Cap
2608,Rosary
4087,Giearth Card
4222,Skeleton Prisoner Card  / Skel Prisoner Card
638,Silver Knife of Chastity
2605,Brooch
1124,Orcish Sword
985,Elunium
4061,Cornutus Card
4061,Cornutus Card
985,Elunium
1455,Glaive
1216,Stiletto
1455,Glaive
1216,Stiletto
4369,Venatu Card
2269,Romantic Flower
2329,Wooden Mail
505,Blue Potion
4064,Zerom Card
1516,Sword Mace
607,Yggdrasil Berry  / Yggdrasilberry
5049,Striped Hairband
1352,Battle Axe
2251,Monk Hat
1214,Dagger
2224,Goggles
2627,Belt
4011,Picky Egg Card
4203,Mutant Dragonoid Card
4090,Munak Card
4109,Jakk Card
4055,Marina Card
4192,Rotar Zairo Card
2288,Mr. Scream
1613,Mighty Staff
2654,Shinobi Sash
4017,Savage Babe Card  / Savage Bebe Card
1207,Main Gauche
1207,Main Gauche
997,Great Nature
4006,Lunatic Card
603,Old Blue Box
4187,Raydric Archer Card
4292,Kobold Archer Card
1105,Falchion
2402,Sandals
2275,Red Bandana
4111,Strouf Card
4199,Merman Card
4139,Joker Card
1410,Lance
2282,Halo
7019,Loki's Whispers
7022,Old Hilt
1219,Gladius
1236,Sucsamad
5125,Angel's Kiss
2116,Angelic Guard
4099,Pasana Card
4206,Myst Case Card
4068,Scorpion Card
4045,Horn Card
1364,Great Axe
1306,War Axe
1364,Great Axe
1306,War Axe
1553,Book of Billows
5046,Bongun Hat
2505,Manteau
1477,Spectral Spear
12116,Elemental Converter  / Elemental Converter: Earth
4286,Karakasa Card
4036,Muka Card
7293,Rose Quartz
4015,Condor Card
4073,Pirate Skeleton Card  / Pirate Skel Card
5003,Joker Jester
0,RateMyServer.Net
4054,Angeling Card
2527,Dragon Breath
1163,Claymore
1116,Katana
5068,Evil Wing Ears
1529,Iron Driver
4150,Goat Card
11500,Light Yellow Potion
1558,Girl's Diary
7023,Blade Lost in Darkness
5086,Alarm Mask
995,Mystic Frozen
7024,Bloody Edge
7289,Peridot
709,Izidor
7017,Executioner's Mitten
702,Animal Gore
7021,Foolishness of the Blind
1009,Hand of God
1008,Necklace of Oblivion
2213,Kitty Band
2213,Kitty Band
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
0,RateMyServer.Net
2257,Unicorn Horn
1754,Crystal Arrow
2103,Buckler
637,Old Broom
2521,Angelic Cardigan
1716,Gakkung Bow
2276,Angled Glasses
1015,Tongue
2212,Eye Patch
1048,Horrendous Hair
1377,Hurricane's Fury  / Hurricane Fury
4275,Zombie Prisoner Card
4268,Injustice Card
2286,Elven Ears
4226,Sting Card
1233,Exorciser
4254,Ogretooth Card
1366,Light Epsilon
4028,Tarou Card
